,,,,,,,,,,,,
FLATS,,,,,,,,,,,,
People,Price,Flat,Flat no,Area,Postcode,North / South,Address,Availability,Image,Images,Video
4,650,2 bedroom flat,1,Croydon,SE25 6NN,South,4 Prince Road SE25 6NN,now,https://drive.google.com/uc?export=view&id=1uwnxtbm1rp4r-TiWCBmXSqlc95DEJ2Cz,https://drive.google.com/uc?export=view&id=1uwnxtbm1rp4r-TiWCBmXSqlc95DEJ2Cz|https://drive.google.com/uc?export=view&id=16TspXtm9DRy0q4ObEZBf28yGCAvqPvNV|https://drive.google.com/uc?export=view&id=1baOkfzR6cc1U2oC0BD8ff1I_WwNcG-q0|https://drive.google.com/uc?export=view&id=1EWWD_qdeedq9_ba9SwsWHpIXRWWavMUR|https://drive.google.com/uc?export=view&id=14yaOVCX5HuOZibzxVCXQDJr0R1SxAmbd|https://drive.google.com/uc?export=view&id=1lDr5aOOhHuahizFwJ9pXsxpvaaQGz5B6|https://drive.google.com/uc?export=view&id=1TGYBh2Ghq2uo5TeTZaoDlLBSN7D6G-YB|https://drive.google.com/uc?export=view&id=1O0xkxm3DwXM8XdoPNKuxgXt-IwAmLVsa|https://drive.google.com/uc?export=view&id=1vt55ZapX3ndLSttA0GmzfvV-quEXYkE1|https://drive.google.com/uc?export=view&id=1U8ihcQR29d7Z9RZtYyvz7ruj17B7jvZz|https://drive.google.com/uc?export=view&id=1FNuiacnE8Vle8NfeaK9BlkF5nlMa2cNW|https://drive.google.com/uc?export=view&id=1GGo-fmrKtRq1JObyYz-4N-WTODlUfhqm|https://drive.google.com/uc?export=view&id=1lVTzvSgNk_JNk1mqH-ccp0Qh_qGqM5jD|https://drive.google.com/uc?export=view&id=1Sv4SQaYUi2aWlAjCkBGSUG77IBR9gBvw|https://drive.google.com/uc?export=view&id=1qPM08T5SjpQY4lauki5W0Tm4RB1SuFcX,
4,750,3 bedroom flat,3,Croydon,SE25 6NN,South,4 Prince Road SE25 6NN,now,https://drive.google.com/uc?export=view&id=13zcNPFSVddgBtxyOGuX4eAoq8Xhlo3pe,https://drive.google.com/uc?export=view&id=13zcNPFSVddgBtxyOGuX4eAoq8Xhlo3pe|https://drive.google.com/uc?export=view&id=1fwVHyyC14QAabym4nKOc4kXkfdOk1r8Y|https://drive.google.com/uc?export=view&id=1GsfSKzRIcZIh4yQnIkCh6N2ySU1quth6|https://drive.google.com/uc?export=view&id=16y72roUCi-JRZpoKAy_7ywUqsB9AttuW|https://drive.google.com/uc?export=view&id=1CU14aQ38yTTkl9i2jkA0t4ZbY1FE22FT|https://drive.google.com/uc?export=view&id=1y711PmxHne0bJZxcbd_7PAfKoV5wFHcA|https://drive.google.com/uc?export=view&id=1po2jIKKkee5Ra5oXLtk4vO3Uz-zAk8Fo|https://drive.google.com/uc?export=view&id=1W25RQOKE-6dKGIafxQR2xahM-v-hNg4A|https://drive.google.com/uc?export=view&id=1ekmIX6wU2M0pYPxZw5WVe2o4M0iRkgLe|https://drive.google.com/uc?export=view&id=1e9vmRoxEM93NYzSaecFFBF4tGhk9KBx3|https://drive.google.com/uc?export=view&id=1eAvlzvNPF0mGBlI_4EkXEXYQvhBUu4th|https://drive.google.com/uc?export=view&id=1zlrcQsWYjR3ETROmqtR1vyL-_3L9Fth7,https://drive.google.com/file/d/1vRp8BBoFAqJ5ndZXtWQJYo1DpseyfM_s/view?usp=drive_link
4,650,2 bedroom flat,4,Croydon,SE25 6NN,South,4 Prince Road SE25 6NN,now,https://drive.google.com/uc?export=view&id=1kBb1qCrgElDcgkZG0Ve6d09L1_V24mD1,https://drive.google.com/uc?export=view&id=1kBb1qCrgElDcgkZG0Ve6d09L1_V24mD1|https://drive.google.com/uc?export=view&id=1oi0m_-UFwzwBx8ogMsTOjmq20XqwWsis|https://drive.google.com/uc?export=view&id=1dnb1-_l0KGLmbrahHrJ6alsZVgf5ppbr|https://drive.google.com/uc?export=view&id=1toUJ58q63-eKHEri0SH2y4KkMAZZrqsW|https://drive.google.com/uc?export=view&id=1T-jwLW3bMd3eOKsAgBimSXiGVfpzApvZ|https://drive.google.com/uc?export=view&id=1ledfwpl4-eHUbCP138VI2zNujyj18ZQR|https://drive.google.com/uc?export=view&id=1dX5vp0xCNWCkEgwf-0C-EdfiRkAmpKVo|https://drive.google.com/uc?export=view&id=1Cl3rPiEbHFnjHWev8DIvKhd_R8kThUsh|https://drive.google.com/uc?export=view&id=1ncBPzvrqpEvGh3yMxbI6zihbwDHguJxb|https://drive.google.com/uc?export=view&id=1ww7R-iJuA95j5a94VNzmbhQXPAFt0yJm|https://drive.google.com/uc?export=view&id=1txw028rvErFN7CAGfeZitRm-4Rf-mo1r,
4,650,2 bedroom flat,10,Harrow,HA2 7ES,North,"10 Kingston House, 232-238 Imperial Drive",now,https://drive.google.com/uc?export=view&id=1gDaxHhvAD_P3aMGO72fcGOYLSc4W4_qJ,https://drive.google.com/uc?export=view&id=1gDaxHhvAD_P3aMGO72fcGOYLSc4W4_qJ|https://drive.google.com/uc?export=view&id=1dhpvzgSutuiE_ZkT3K8XysrOkDgsNSXM|https://drive.google.com/uc?export=view&id=16tMFo9Wy0Fa_yqi1OzIjUfi1NGnwEuWU|https://drive.google.com/uc?export=view&id=1zUk2M07wK3XZZGY7ZazIxluAfkgqT_rD|https://drive.google.com/uc?export=view&id=1h-00UwyuJXnvCvZow2w4yHKPaxu393da|https://drive.google.com/uc?export=view&id=1yqFFhdvRjKlqpDDc-_MzfLmso_KBnWRA|https://drive.google.com/uc?export=view&id=1-1zIwSGKreQvuOVp_O8mpT21IczQZaSA|https://drive.google.com/uc?export=view&id=16ANDcPBOaBOK_fB0CMAahCOEZl8FYvkj|https://drive.google.com/uc?export=view&id=1ng7GxiNOO1bcEIhFVA7Nai9sVr3m1ldT,https://drive.google.com/file/d/16MBIEU4ua3Y20XQezoMMVprw8rAOczMk/view?usp=drive_link|https://drive.google.com/file/d/1QPkxsY7iyq0dYHlGGsSdzhshHT9OV8km/view?usp=drive_link|https://drive.google.com/file/d/1kdZo6FaJtE-iyJSRH6IjmSi8u0fLFjL1/view?usp=drive_link|https://drive.google.com/file/d/10O6ss5s_ZPQpCripyRNvEscyTL_g609t/view?usp=drive_link
2,500,1 bedroom flat,12,Romford,RM1 1TR,East,Opal House, 1 Regarth Avenue Romford RM1 1TJ,now,,
2,650,2 bedroom flat,2,Croydon,SE19 3HF,South,284 Beulah Hill SE19 3HF,now,https://drive.google.com/uc?export=view&id=1MRZfskhdmNnrmNHMGdeU0fVkZwvYFBvS,https://drive.google.com/uc?export=view&id=1MRZfskhdmNnrmNHMGdeU0fVkZwvYFBvS|https://drive.google.com/uc?export=view&id=128kLpyy5ngjF8hSJFmw2mRCN6mEiZgdJ|https://drive.google.com/uc?export=view&id=15VAV9tY1OQf6P15I3Ozfw3OyXuivpng2|https://drive.google.com/uc?export=view&id=1rUAFEHkXmm-Ts6C3Yq9-S0d16f3ZFgyq|https://drive.google.com/uc?export=view&id=1ME7ARu7Awl22LdetX4QZFJxXznxHWBrX|https://drive.google.com/uc?export=view&id=1y_9C1dHp-_3Ta-u1Iachslaw-ozbGwlF|https://drive.google.com/uc?export=view&id=1_LWvVgAFxb_y04ViXM73WUjutAGD4gNr|https://drive.google.com/uc?export=view&id=1xHaactaZKGfj4BG0AiM3YNRA405i-x8W|https://drive.google.com/uc?export=view&id=1FGu_Z0Tm5JqgGzgFuaxQ4Z7Ta8LaQU-Q|https://drive.google.com/uc?export=view&id=1FQQv9wxjqSOujN9Qtb_nEXjeRpfBtePL|https://drive.google.com/uc?export=view&id=1I2DLl_3sQzEAArKX5LjlvVWUFuA9OxlO|https://drive.google.com/uc?export=view&id=1Lg0NH1kaGg7S2Rvav6D0YUduciIIE6gw,https://drive.google.com/file/d/1uO68oKEiudlLr2cFlHLe6Ej1owJNKKVu/view?usp=drive_link
4,600,2 bedroom flat,1,Croydon,CR7 6AZ,South,681 London Road CR7 6AZ,now,https://drive.google.com/uc?export=view&id=1v27gdslOCZzjgZYAV1ywWrQgnFxcswV9,https://drive.google.com/uc?export=view&id=1v27gdslOCZzjgZYAV1ywWrQgnFxcswV9|https://drive.google.com/uc?export=view&id=1OoSuGOAb-hhi0At2bKJykNqBj4V8lxD-|https://drive.google.com/uc?export=view&id=1JnPJoTiEKXsFHLHvIxwd2n2k16h_ZtX2|https://drive.google.com/uc?export=view&id=14PQhCDDvv33D1j0NXKgTZJLEDNnWr7n_|https://drive.google.com/uc?export=view&id=1rywvaWf1zlW8RN9IPkctb55vuhEUEekM|https://drive.google.com/uc?export=view&id=1B3mrp2ytCz0CTeEziSb9Q-jDifBjhBMn|https://drive.google.com/uc?export=view&id=1i3kSp7_drtUg3AAIzY8oGgsyVipXAdb6|https://drive.google.com/uc?export=view&id=1oJJHJe7aAWYOW5HRBmU8Klo4gIWTBBvX|https://drive.google.com/uc?export=view&id=1HbuE4RJwwdEherzOWO-2N0j1D0C5mTRO|https://drive.google.com/uc?export=view&id=1tgLd_uqVrV7RToo3BiJoaq0mS0hKQjOR|https://drive.google.com/uc?export=view&id=1ztAT630VEIgo3k6sE4b5SMgr2AqMXDzn,
4,600,2 bedroom flat,2,Croydon,CR7 6AZ,South,681 London Road CR7 6AZ,now,https://drive.google.com/uc?export=view&id=1rmiHzhT7x9dHGU3IUF_gSy6mn9jVus51,https://drive.google.com/uc?export=view&id=1rmiHzhT7x9dHGU3IUF_gSy6mn9jVus51|https://drive.google.com/uc?export=view&id=1VPEodiV54vXKi0MheB3gSIAi64OKrQRf|https://drive.google.com/uc?export=view&id=18v9ashGYYksL0yrUdI7lqIX9EGWRo9zx|https://drive.google.com/uc?export=view&id=1lfzc9r7CxcYQ5TnZvVaekCa_gXn03HK_|https://drive.google.com/uc?export=view&id=1ppmM5_F03JrUz3GgK26Dnxhj-DSIa4bO|https://drive.google.com/uc?export=view&id=1ZvWpRMibxBBwNZTCUxkOuMUbzfLUt-2y|https://drive.google.com/uc?export=view&id=1kyBWJmeFp6O8YY3KJtp-yuK5oBKa2d2H|https://drive.google.com/uc?export=view&id=1Q19zMcPicZX4kmRXDmnaTYi0CBShBLCf|https://drive.google.com/uc?export=view&id=15nrJX1ZkG-yUOof_64xpNnsMS7cYKjyr|https://drive.google.com/uc?export=view&id=14uZAsxl8uP44MqfuR25VNwuFEzTBGPCq|https://drive.google.com/uc?export=view&id=18esXX2HKtEiajyIXe92ADzsqJ4F7CJiI,
4,600,2 bedroom flat,3,Croydon,CR7 6AZ,South,681 London Road CR7 6AZ,now,https://drive.google.com/uc?export=view&id=1QNZky7d5Osf1G0gbMPNG67nd3zME197S,https://drive.google.com/uc?export=view&id=1QNZky7d5Osf1G0gbMPNG67nd3zME197S|https://drive.google.com/uc?export=view&id=1dYRoP6fhqdDLDnBTmZkW-NB_vK3jrVnh|https://drive.google.com/uc?export=view&id=1vuuYEqjaSAMhARe_i9hUnozxrPWpcnn5|https://drive.google.com/uc?export=view&id=1JMnrleEWm9fJ13ziZUKeQ_ba7ooNuWNk|https://drive.google.com/uc?export=view&id=1dQ-Vt71M78vlwjlTrPULR0vbOrpv2pWk|https://drive.google.com/uc?export=view&id=1mHRlZpimpMggkdJ1lI7a1ORECWKk-DGV|https://drive.google.com/uc?export=view&id=1n6P0gulQBcs_Ztw_Hf38C2bYLSFnGqeT|https://drive.google.com/uc?export=view&id=1BbiM6YzSO3WlZYDj6DNJzJqvJADw_-EM|https://drive.google.com/uc?export=view&id=142DOtbVCydzi_9pXAJjEKUcRLI_9Es39|https://drive.google.com/uc?export=view&id=1VCPBNtfrlDp0nAGSbInD2RSpQx7vbFXD|https://drive.google.com/uc?export=view&id=18CdNP4dQpJ6azHtFdwNn_R8czuJcXIiE|https://drive.google.com/uc?export=view&id=1kXuTZEov0zrVAVIasAo0YjsP3LllW0mv,
4,600,2 bedroom flat,4,Croydon,CR7 6AZ,South,681 London Road CR7 6AZ,now,https://drive.google.com/uc?export=view&id=1pefN3m6LkBKQD2543TYIwvdpNxaVp4uW,https://drive.google.com/uc?export=view&id=1pefN3m6LkBKQD2543TYIwvdpNxaVp4uW|https://drive.google.com/uc?export=view&id=1OQlGgl_LUETgv634PBMDUa76D3fNzvnF|https://drive.google.com/uc?export=view&id=1ESoMNuq1UQ8jCmPSQj7MTulEKCqL0eqg|https://drive.google.com/uc?export=view&id=1hm73JwlPiL0qKPdpoI4Lsf3Ro4rEVcTT|https://drive.google.com/uc?export=view&id=1saTOcQytO0DCW_TUUL38te_-mL0y3rZ2|https://drive.google.com/uc?export=view&id=11A2CHExFDCOV8vH_VHO7Cz2_pC3Qshmp|https://drive.google.com/uc?export=view&id=15ToXAWqsQsow6dfs0IPm376Q2luaXqbj|https://drive.google.com/uc?export=view&id=1EkwsN8264V25g3vQZI9DBBIBtZrjl2Od|https://drive.google.com/uc?export=view&id=1b6Qr5z-wjzS-tXStvMQOnqaXG3Fc5NTp|https://drive.google.com/uc?export=view&id=1cgrDhBNKM_9DVHyOGUbVayj73o3MI9KQ|https://drive.google.com/uc?export=view&id=1C2-KZmduapvWfcLX8Qn0VAt7L6qoMpdp|https://drive.google.com/uc?export=view&id=1AlW6Rz0jjjBmy-oXHm2l_Vcfu1OWkpmh|https://drive.google.com/uc?export=view&id=1QhHD-bAzA3tvsUSVJiCB5qvCpiZo5Noq,
